item_id,item_name,material_type,recyclability_status,bin_colour,preparation_instructions
1,receipt,paper,recyclable,blue,Ensure the receipt is free from any adhesive or plastic elements before recycling.
2,cardboard,paper,recyclable,blue,Flatten the cardboard to save space in the bin.
3,snacks outer packaging,paper,recyclable,blue,"Remove any plastic or foil linings; only clean, dry paper can be recycled."
4,egg tray,paper,recyclable,blue,Ensure the egg tray is clean and free of any residue.
5,tissue box packaging,paper,recyclable,blue,Remove any plastic film from the opening and flatten the box.
6,flyer,paper,recyclable,blue,Remove any plastic film from the opening and flatten the box.
7,envelope,paper,recyclable,blue,"Remove plastic windows, if any, before recycling."
8,toliet paper roll,paper,recyclable,blue,Flatten the roll to save space in the recycling bin.
9,paper towel roll,paper,recyclable,blue,"Ensure the roll is clean, and flatten to save space."
10,newspaper,paper,recyclable,blue,Place directly in the bin if it is clean and dry.
11,magazine,paper,recyclable/reusable,blue,"Remove any plastic wrap; reuse if possible, or recycle if free of adhesive or lamination."
12,book,paper,recyclable/reusable,blue,Remove any plastic covers or bindings; consider donating if in good condition.
13,paper towel ,paper,non-recyclable,green,"These items are often used and unclean, and not selected for recycling."
14,tissue ,paper,non-recyclable,green,"These items are often used and unclean, and not selected for recycling."
15,disposable food packaging,paper,non-recyclable,green,"These items are often used and unclean, and not selected for recycling."
16,disposable drink packaging ,paper,non-recyclable,green,"These items are often used and unclean, and not selected for recycling."
17,glitter paper,paper,non-recyclable,green,Not practical to recycle as it is very difficult to seperate the non-paper layer.
18,crayon drawing,paper,non-recyclable,green,Not practical to recycle as it is very difficult to seperate the non-paper layer.
19,plant,organic/biodegradable,non-recyclable,green,"Remove any plastic pots, wires, or non-organic materials attached to the plant. Place small plant trimmings, leaves, and flowers in the compost or designated green waste bin if available. For general waste disposal, ensure the plant is free of soil to avoid adding unnecessary weight to the bin."
20,diaper,paper,non-recyclable,green,Wrap the used diaper in a plastic bag or diaper disposal bag to contain any odors and potential leakage. Place it in the general waste bin (green bin) as diapers cannot be recycled and may contain contaminants that affect recyclables.
21,wooden chopstick,wood,non-recyclable,green," Ensure the chopsticks are clean and free from food residue. If composting facilities accept small wood items, place them in the compost or organic waste bin. Otherwise, dispose of them in the general waste bin."
22,wooden plank,wood,non-recyclable,green,"If the plank is untreated, it may be accepted by some compost or green waste facilities. Remove any nails, screws, or attachments if possible. If the plank is treated, painted, or contains adhesives, place it in the general waste bin or take it to a designated waste disposal facility for bulky or construction waste."
23,beverage bottle,plastic,recyclable,blue ,Rinse the bottle and remove the cap before placing it in the recycling bin.
24,shampoo bottle,plastic,recyclable,blue ,"Rinse thoroughly to remove any residue, and place in the recycling bin."
